City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Whitehorse,CA,60.7161,-135.0538,38.17,94,75,8.99,light rain
302,Coari,BR,-4.085,-63.1414,87.01,58,98,2.35,overcast clouds
303,Slave Lake,CA,55.2834,-114.769,53.58,58,40,6.91,scattered clouds
304,Morada Nova,BR,-5.1067,-38.3725,92.17,37,67,10.31,broken clouds
305,Iberia,US,29.9502,-91.7507,86.99,78,75,9.22,broken clouds
306,Port Augusta,AU,-32.5,137.7667,55.54,91,7,12.86,clear sky
307,Boyolangu,ID,-8.1181,111.8935,74.97,91,88,5.95,overcast clouds
308,Amarante Do Maranhao,BR,-5.5667,-46.7422,85.21,51,88,2.01,overcast clouds
309,Cockburn Town,TC,21.4612,-71.1419,82.36,74,40,5.75,scattered clouds
310,Ranau,MY,5.9538,116.6641,70.45,96,95,0.94,overcast clouds
311,Avarua,CK,-21.2078,-159.775,78.85,73,20,9.22,few clouds
312,Montalvo,EC,-1.8,-79.3333,86.81,58,84,1.14,light rain
313,Haapiti,PF,-17.5667,-149.8667,80.33,72,2,16.89,light rain
314,Svetlogorsk,BY,52.6333,29.7333,41.81,79,33,6.38,scattered clouds
315,Swan Hill,AU,-35.3378,143.5544,54.61,99,100,5.53,light rain
316,Shahr-E Kord,IR,32.3256,50.8644,51.57,30,0,4.61,clear sky
317,Pevek,RU,69.7008,170.3133,27.16,86,100,12.35,light snow
318,Suluq,LY,31.6682,20.2521,73.98,62,0,14.32,clear sky
319,Westerland,DE,54.9079,8.3033,54.93,94,90,25.32,light rain
320,Mocajuba,BR,-2.5842,-49.5072,88.3,54,89,6.51,overcast clouds
321,Laguna,US,38.421,-121.4238,87.64,29,1,1.01,clear sky
322,Plettenberg Bay,ZA,-34.0527,23.3716,59.86,89,100,4.76,light rain
323,Asfi,MA,32.2994,-9.2372,73.63,72,22,15.86,few clouds
324,Dwarka,IN,22.2394,68.9678,80.94,87,100,21.81,overcast clouds
325,Port Hueneme,US,34.1478,-119.1951,97.61,8,1,13.8,clear sky
326,Kyzyl,RU,51.7,94.45,39.02,60,99,3.83,overcast clouds
327,Ancud,CL,-41.8697,-73.8203,51.33,52,11,9.26,few clouds
328,Pasighat,IN,28.0667,95.3333,74.77,92,0,2.37,clear sky
329,Tarko-Sale,RU,64.9225,77.785,32.5,96,100,15.01,overcast clouds
330,Richards Bay,ZA,-28.783,32.0377,66.72,84,100,8.95,light rain
331,Srivardhan,IN,18.0333,73.0167,77.27,90,100,6.87,overcast clouds
332,Kadoshkino,RU,54.0257,44.4191,44.24,71,100,5.39,overcast clouds
333,Atchison,US,39.563,-95.1216,85.37,64,82,6.06,broken clouds
334,Biltine,TD,14.5333,20.9167,87.04,19,5,7.83,clear sky
335,Dzerzhinsk,RU,56.2389,43.4631,42.62,81,20,4.47,few clouds
336,Port Lincoln,AU,-34.7333,135.8667,54.37,74,100,14.83,overcast clouds
337,Ivanteyevka,RU,55.9711,37.9208,43.48,84,10,2.8,clear sky
338,Salalah,OM,17.0151,54.0924,82.49,83,20,6.91,few clouds
339,Ankang,CN,32.68,109.0172,67.33,90,0,1.25,clear sky
340,Mbandaka,CD,0.0487,18.2603,69.64,99,79,2.64,broken clouds
341,Maragogi,BR,-9.0122,-35.2225,76.23,85,28,8.79,scattered clouds
342,Muros,ES,42.7762,-9.0603,65.84,69,100,7.49,overcast clouds
343,Ulladulla,AU,-35.35,150.4667,58.1,89,98,2.73,light rain
344,Patan,NP,27.6667,85.3333,70.18,94,75,2.3,broken clouds
345,Talnakh,RU,69.4865,88.3972,29.98,99,100,4.38,light snow
