City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
233,Fairbanks,US,2021-09-29 16:45:02,64.8378,-147.7164,21.81,90,75,0.0
234,Beringovskiy,RU,2021-09-29 16:49:54,63.05,179.3167,27.43,91,100,29.95
235,Cumana,VE,2021-09-29 16:49:54,10.4635,-64.1775,77.09,64,32,6.42
236,Stornoway,GB,2021-09-29 16:49:55,58.2093,-6.3865,51.93,71,40,11.5
237,Mbour,SN,2021-09-29 16:49:55,14.422,-16.9638,87.89,72,36,12.75
238,Sibolga,ID,2021-09-29 16:49:55,1.7427,98.7792,76.32,95,100,4.43
239,Ojinaga,MX,2021-09-29 16:49:56,29.5667,-104.4167,86.58,32,1,4.61
240,Ponta Delgada,PT,2021-09-29 16:45:27,37.7333,-25.6667,75.92,78,20,6.91
241,Malangali,TZ,2021-09-29 16:49:57,-8.5667,34.85,70.92,50,30,13.73
242,Komsomolskiy,UZ,2021-09-29 16:49:57,40.4272,71.7189,66.92,63,3,6.91
243,Salalah,OM,2021-09-29 16:49:58,17.0151,54.0924,84.29,84,75,8.05
244,Cabedelo,BR,2021-09-29 16:49:58,-6.9811,-34.8339,86.67,71,34,16.31
245,Jhalawar,IN,2021-09-29 16:49:59,24.6,76.15,77.02,89,87,7.47
246,Port Hardy,CA,2021-09-29 16:50:00,50.6996,-127.4199,51.98,82,90,13.8
247,Beloha,MG,2021-09-29 16:50:00,-25.1667,45.05,74.98,64,89,9.13
248,The Valley,AI,2021-09-29 16:50:01,18.217,-63.0578,87.94,62,20,6.91
249,Kaitangata,NZ,2021-09-29 16:50:01,-46.2817,169.8464,42.93,74,82,10.58
250,Northam,GB,2021-09-29 16:50:05,51.0333,-4.2167,58.01,69,50,9.37
251,Plouzane,FR,2021-09-29 16:50:06,48.3833,-4.6167,59.18,58,20,6.91
252,Half Moon Bay,US,2021-09-29 16:50:07,37.4636,-122.4286,67.96,73,1,0.0
253,Lafiagi,NG,2021-09-29 16:50:07,8.8667,5.4167,78.64,89,99,3.47
254,Lorengau,PG,2021-09-29 16:50:08,-2.0226,147.2712,80.37,83,24,4.41
255,Snasa,NO,2021-09-29 16:50:08,64.2457,12.3778,54.81,82,95,8.08
256,Santa Maria,BR,2021-09-29 16:50:09,-29.6842,-53.8069,72.7,68,75,16.11
257,Sao Joao Da Barra,BR,2021-09-29 16:45:48,-21.6403,-41.0511,84.29,70,1,20.33
258,Kurilsk,RU,2021-09-29 16:50:09,45.2333,147.8833,51.82,92,67,9.1
259,Hobyo,SO,2021-09-29 16:50:10,5.3505,48.5268,79.88,77,6,25.34
260,Leningradskiy,RU,2021-09-29 16:50:10,69.3833,178.4167,26.78,97,100,17.43
261,Muroto,JP,2021-09-29 16:50:11,33.2833,134.15,76.87,75,97,15.1
262,Palu,ID,2021-09-29 16:46:12,-0.8917,119.8707,76.17,95,53,2.13
263,Tilichiki,RU,2021-09-29 16:50:12,60.4667,166.1,25.25,56,0,23.02
264,Alyangula,AU,2021-09-29 16:50:13,-13.8483,136.4192,76.87,83,36,8.05
265,Khalkhal,IR,2021-09-29 16:50:13,37.6189,48.5258,51.42,87,36,7.85
266,Two Hills,CA,2021-09-29 16:45:22,53.7169,-111.7518,50.88,66,1,5.75
267,Mizan Teferi,ET,2021-09-29 16:50:14,6.9833,35.5833,61.72,94,100,4.05
268,Filingue,NE,2021-09-29 16:50:14,14.3521,3.3168,98.89,25,87,15.82
269,Neijiang,CN,2021-09-29 16:50:15,29.5835,105.0622,73.33,79,12,5.26
270,Abalak,RU,2021-09-29 16:50:15,58.1286,68.5944,37.11,93,100,6.6
271,Dandong,CN,2021-09-29 16:50:16,40.1292,124.3947,57.45,93,0,5.55
272,Burns Lake,CA,2021-09-29 16:48:45,54.2331,-125.7533,40.42,81,100,5.64
273,Jabinyanah,TN,2021-09-29 16:50:17,35.035,10.9081,82.2,54,0,16.2
274,Mandalgovi,MN,2021-09-29 16:50:17,45.7625,106.2708,37.62,40,47,4.43
275,Kapit,MY,2021-09-29 16:50:18,2.0167,112.9333,74.73,99,100,0.16
276,Narsaq,GL,2021-09-29 16:50:18,60.9167,-46.05,39.15,37,8,2.68
277,Viedma,AR,2021-09-29 16:50:18,-40.8135,-62.9967,73.78,30,31,22.06
278,Broome,US,2021-09-29 16:50:19,42.2506,-75.833,65.05,60,40,4.0
279,Rio Gallegos,AR,2021-09-29 16:50:19,-51.6226,-69.2181,62.65,15,0,14.97
280,Matagami,CA,2021-09-29 16:50:20,49.7502,-77.6328,48.31,93,90,8.05
281,Fort Saint James,CA,2021-09-29 16:50:20,54.4333,-124.25,43.25,76,100,5.44
282,Kavaratti,IN,2021-09-29 16:50:20,10.5669,72.642,81.18,81,44,13.06
283,Paoua,CF,2021-09-29 16:50:21,7.2427,16.4406,72.77,90,41,3.83
284,Onega,RU,2021-09-29 16:50:21,63.9061,38.1404,45.79,88,88,4.54
285,Chingirlau,KZ,2021-09-29 16:50:22,51.095,54.0814,42.06,41,70,7.05
286,Altamira,BR,2021-09-29 16:50:23,-3.2033,-52.2064,86.09,66,75,5.75
287,Vardo,NO,2021-09-29 16:50:23,70.3705,31.1107,47.95,93,0,6.91
288,Moanda,GA,2021-09-29 16:50:24,-1.5575,13.2178,84.43,95,99,1.03
289,Ocho Rios,JM,2021-09-29 16:50:24,18.4025,-77.1048,89.35,63,1,5.86
290,Esna,EG,2021-09-29 16:50:24,25.2934,32.554,89.62,18,0,13.82
291,Pozo Colorado,PY,2021-09-29 16:50:25,-23.4923,-58.7972,103.35,21,21,5.88
292,Deputatskiy,RU,2021-09-29 16:50:25,69.3,139.9,13.57,86,31,3.04
